funcion,threads,tiempo
Carga,1,6.733924400
Máximo,1,0.372600
Carga,2,4.20983800
Máximo,2,0.259900
Carga,3,2.329065600
Máximo,3,0.213600
Carga,4,1.659636500
Máximo,4,0.317200
Carga,5,1.596318100
Máximo,5,0.358100
Carga,6,1.752331300
Máximo,6,0.557100
Carga,7,1.803114000
Máximo,7,0.553600
Carga,8,1.425655000
Máximo,8,0.661500
Carga,1,6.919210400
Máximo,1,0.239700
Carga,2,3.235184700
Máximo,2,0.287000
Carga,3,2.284977100
Máximo,3,0.309700
Carga,4,1.940613100
Máximo,4,0.284400
Carga,5,1.792506600
Máximo,5,0.480100
Carga,6,1.619531100
Máximo,6,0.445600
Carga,7,1.726783800
Máximo,7,0.534600
Carga,8,1.211505300
Máximo,8,0.505500
Carga,1,5.639968200
Máximo,1,0.213600
Carga,2,3.85703100
Máximo,2,0.262000
Carga,3,1.925914800
Máximo,3,0.236300
Carga,4,1.783441400
Máximo,4,0.279700
Carga,5,1.753189600
Máximo,5,0.368300
Carga,6,1.847898200
Máximo,6,0.493300
Carga,7,1.741532900
Máximo,7,0.455700
Carga,8,1.168853800
Máximo,8,0.444100
Carga,1,6.374302100
Máximo,1,0.289300
Carga,2,3.36314300
Máximo,2,0.262900
Carga,3,2.286839900
Máximo,3,0.333000
Carga,4,1.680894200
Máximo,4,0.328600
Carga,5,1.741004200
Máximo,5,0.354300
Carga,6,1.794310400
Máximo,6,0.421400
Carga,7,1.663296300
Máximo,7,0.586000
Carga,8,1.175110300
Máximo,8,0.448900
Carga,1,6.29603800
Máximo,1,0.272000
Carga,2,3.235979600
Máximo,2,0.257000
Carga,3,2.227634000
Máximo,3,0.304000
Carga,4,1.680281800
Máximo,4,0.272100
Carga,5,1.746253500
Máximo,5,0.353400
Carga,6,1.878535800
Máximo,6,0.391700
Carga,7,1.668730500
Máximo,7,0.468700
Carga,8,1.201321100
Máximo,8,0.568700
Carga,1,5.857764000
Máximo,1,0.263900
Carga,2,3.215907300
Máximo,2,0.219500
Carga,3,2.295074100
Máximo,3,0.281300
Carga,4,1.906938100
Máximo,4,0.279800
Carga,5,1.765142900
Máximo,5,0.339700
Carga,6,1.778553100
Máximo,6,0.443000
Carga,7,1.699544900
Máximo,7,0.622800
Carga,8,1.177331800
Máximo,8,0.456400
Carga,1,6.367618400
Máximo,1,0.294200
Carga,2,3.413564800
Máximo,2,0.257600
Carga,3,2.240652100
Máximo,3,0.342200
Carga,4,1.751819200
Máximo,4,0.283300
Carga,5,1.755300400
Máximo,5,0.428800
Carga,6,1.797666900
Máximo,6,0.409700
Carga,7,1.736887100
Máximo,7,0.460300
Carga,8,1.156011600
Máximo,8,0.449900
Carga,1,6.406079300
Máximo,1,0.249500
Carga,2,3.23921500
Máximo,2,0.287000
Carga,3,2.311915800
Máximo,3,0.303200
Carga,4,1.552705800
Máximo,4,0.280500
Carga,5,1.738335500
Máximo,5,0.364000
Carga,6,1.744715300
Máximo,6,0.502300
Carga,7,1.614085100
Máximo,7,0.482700
Carga,8,1.157870400
Máximo,8,0.566100
Carga,1,6.436704700
Máximo,1,0.277400
Carga,2,3.40065000
Máximo,2,0.293000
Carga,3,2.353705000
Máximo,3,0.313400
Carga,4,1.789964700
Máximo,4,0.281900
Carga,5,1.727743200
Máximo,5,0.454700
Carga,6,1.780065600
Máximo,6,0.501700
Carga,7,1.587288300
Máximo,7,0.655600
Carga,8,1.215956400
Máximo,8,0.530400
Carga,1,6.479645900
Máximo,1,0.241600
Carga,2,3.136785700
Máximo,2,0.202900
Carga,3,2.302827600
Máximo,3,0.280500
Carga,4,2.22677200
Máximo,4,0.284900
Carga,5,1.851697400
Máximo,5,0.401200
Carga,6,1.896453800
Máximo,6,0.484900
Carga,7,1.776605400
Máximo,7,0.491300
Carga,8,1.183287400
Máximo,8,0.469500
